Genus,Species,N,Tmax,max_metric,error,error measure,Multiple measures,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N_1,tmin,min_metric,error_2,error_type,Multiple measures_min,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ,name,Class
Brachythecium,rutabulum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-37.5,LT50,NA,NA,N,NA,NA,51,6.8,50,R<fc>tten_&_Santarius_1992,1,Streptophyta,Bryopsida,Hypnales,Brachytheciaceae,NA,Brachythecium rutabulum,Moss
Hypnum,cupressiforme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-30.5,LT50,NA,NA,N,NA,NA,51,6.8,50,R<fc>tten_&_Santarius_1992,1,Streptophyta,Bryopsida,Hypnales,Hypnaceae,NA,Hypnum cupressiforme,Moss
Mnium,hornum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-40,LT50,NA,NA,N,NA,NA,51,6.8,50,R<fc>tten_&_Santarius_1992,1,Streptophyta,Bryopsida,Bryales,Mniaceae,NA,Mnium hornum,Moss
Plagiomnium,affine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-37.5,LT50,NA,NA,N,NA,NA,51,6.8,50,R<fc>tten_&_Santarius_1992,1,Streptophyta,Bryopsida,Bryales,Mniaceae,NA,Plagiomnium affine,Moss
Plagiomnium,undulatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,-36.5,LT50,NA,NA,N,NA,NA,51,6.8,50,R<fc>tten_&_Santarius_1992,1,Streptophyta,Bryopsida,Bryales,Mniaceae,NA,Plagiomnium undulatum,Moss
Potamopyrgus,antipodarum,25,32.4,LT50,NA,NA,N,NA,NA,-38.1,175.49,NA,Quinn_et_al_1994,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,NA,Potamopyrgus antipodarum,Mollusk
Deroceras,reticulatum,8,40,LT100,NA,NA,N,NA,NA,68,-152,0,Scholander_et_al_1953,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,Gastropoda,Stylommatophora,Agriolimacidae,NA,Deroceras reticulatum,Mollusk
Calathus,melanocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-3.8,ctmin,NA,NA,N,13,1,60.6,7.5,1200,Nylund_1991,1,Arthropoda,Insecta,Coleoptera,Carabidae,NA,Calathus melanocephalus,Insect
Pellia,epiphylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,-30.5,LT50,NA,NA,N,NA,NA,51,6.8,50,R<fc>tten_&_Santarius_1992,1,Streptophyta,Jungermanniopsida,Pelliales,Pelliaceae,NA,Pellia epiphylla,Liverworts
Lobaria,pulmonaria,NA,46.7,ct50,NA,NA,N,NA,NA,58.6,8.7,340,Gauslaa_&_Solhaug_1999,NA,7,-22.8,LT50,NA,NA,N,NA,NA,51,6.8,50,R<fc>tten_&_Santarius_1992,1,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,NA,Lobaria pulmonaria,Fungus
