station_n,year,dem,slope,BAFU_T,GEE_BT,season
2085,2018,454.804863,4.829624772,6.069777778,2.75,winter
2085,2019,454.804863,4.829624772,6.906777778,4.1,winter
2085,2020,454.804863,4.829624772,6.015274725,9.45,winter
2085,2021,454.804863,4.829624772,5.413777778,6.98,winter
2113,2014,312.7232361,0.729323823,18.92858696,,summer
2113,2015,312.7232361,0.729323823,21.08967391,23.45,summer
2113,2016,312.7232361,0.729323823,20.52402174,21.3,summer
2113,2017,312.7232361,0.729323823,21.19195652,19.45,summer
2113,2018,312.7232361,0.729323823,22.87902174,21.92,summer
2113,2019,312.7232361,0.729323823,21.30967391,20.95,summer
2113,2020,312.7232361,0.729323823,21.7201087,19.17,summer
2113,2014,312.7232361,0.729323823,7.784333333,11.2,winter
2113,2015,312.7232361,0.729323823,6.852666667,-11.55,winter
2113,2016,312.7232361,0.729323823,7.045824176,5.35,winter
2113,2017,312.7232361,0.729323823,6.219555556,5.35,winter
2113,2018,312.7232361,0.729323823,6.584666667,,winter
2113,2019,312.7232361,0.729323823,7.288666667,5.25,winter
2113,2020,312.7232361,0.729323823,7.636703297,5.75,winter
2113,2021,312.7232361,0.729323823,6.766444444,7.25,winter
2135,2014,526.5018463,11.55748844,15.94880435,19.01,summer
2135,2015,526.5018463,11.55748844,18.2901087,24.18,summer
2135,2016,526.5018463,11.55748844,17.51923913,20.79,summer
2135,2017,526.5018463,11.55748844,17.67456522,20.79,summer
2135,2018,526.5018463,11.55748844,19.4798913,22.18,summer
2135,2019,526.5018463,11.55748844,17.9723913,24.06,summer
2135,2020,526.5018463,11.55748844,18.64163043,20.61,summer
2135,2021,526.5018463,11.55748844,16.52728261,20.55,summer
2135,2014,526.5018463,11.55748844,6.275777778,14.05,winter
2135,2015,526.5018463,11.55748844,5.978777778,3.87,winter
2135,2016,526.5018463,11.55748844,6.404175824,3.65,winter
2135,2017,526.5018463,11.55748844,5.836111111,3.13,winter
2135,2018,526.5018463,11.55748844,5.748222222,4.05,winter
2135,2019,526.5018463,11.55748844,5.930333333,1.6,winter
2135,2020,526.5018463,11.55748844,6.497472527,7.78,winter
2135,2021,526.5018463,11.55748844,6.060444444,5.92,winter
2308,2014,402.4970703,5.598330498,14.89282609,18.82,summer
2308,2015,402.4970703,5.598330498,17.66913043,20.41,summer
2308,2016,402.4970703,5.598330498,16.94652174,19.19,summer
2308,2017,402.4970703,5.598330498,16.27391304,19.35,summer
2308,2018,402.4970703,5.598330498,18.73684783,19.63,summer
2308,2019,402.4970703,5.598330498,17.17293478,19,summer
2308,2020,402.4970703,5.598330498,16.4726087,18.82,summer
2308,2021,402.4970703,5.598330498,15.18902174,16.89,summer
2308,2014,402.4970703,5.598330498,4.327777778,5.42,winter
2308,2015,402.4970703,5.598330498,3.208444444,4.45,winter
2308,2016,402.4970703,5.598330498,4.199340659,4.35,winter
2308,2017,402.4970703,5.598330498,3.679222222,-9.55,winter
2308,2018,402.4970703,5.598330498,3.498555556,3.48,winter
2308,2019,402.4970703,5.598330498,3.386,-0.7,winter
2308,2020,402.4970703,5.598330498,4.173516484,-1.55,winter
2308,2021,402.4970703,5.598330498,3.272111111,4.65,winter
2392,2014,364.5569839,16.47093701,18.91130435,17.75,summer
2392,2015,364.5569839,16.47093701,20.7626087,19.6,summer
2392,2016,364.5569839,16.47093701,20.6251087,20.84,summer
2392,2017,364.5569839,16.47093701,20.09815217,18.88,summer
2392,2018,364.5569839,16.47093701,22.71184783,20.31,summer
2392,2019,364.5569839,16.47093701,21.19663043,21.16,summer
2392,2020,364.5569839,16.47093701,21.51902174,19.99,summer
2392,2021,364.5569839,16.47093701,19.45641304,19.18,summer
2392,2014,364.5569839,16.47093701,5.562555556,6.89,winter
2392,2015,364.5569839,16.47093701,4.875888889,-9.85,winter
2392,2016,364.5569839,16.47093701,5.550989011,4.7,winter
2392,2017,364.5569839,16.47093701,4.471888889,5.12,winter
2392,2018,364.5569839,16.47093701,4.707111111,3.88,winter
2392,2019,364.5569839,16.47093701,5.065888889,-0.58,winter
2392,2020,364.5569839,16.47093701,6.042087912,5.5,winter
2392,2021,364.5569839,16.47093701,5.238666667,3.42,winter
2457,2014,564.9746399,4.527424872,14.25630435,13.1,summer
2457,2015,564.9746399,4.527424872,14.8925,18.65,summer
2457,2016,564.9746399,4.527424872,15.29467391,18.5,summer
2457,2017,564.9746399,4.527424872,14.78902174,15.4,summer
2457,2018,564.9746399,4.527424872,15.80184783,17.82,summer
2457,2019,564.9746399,4.527424872,14.98597826,20.78,summer
2457,2020,564.9746399,4.527424872,15.96586957,16.24,summer
2457,2021,564.9746399,4.527424872,14.94793478,19.4,summer
2457,2014,564.9746399,4.527424872,6.000777778,4.22,winter
2457,2015,564.9746399,4.527424872,5.808222222,0.85,winter
2457,2016,564.9746399,4.527424872,6.014175824,4.72,winter
2457,2017,564.9746399,4.527424872,5.797,1.37,winter
2457,2018,564.9746399,4.527424872,5.464222222,3.35,winter
2457,2019,564.9746399,4.527424872,5.728444444,1.82,winter
2457,2020,564.9746399,4.527424872,6.418571429,4.93,winter
2457,2021,564.9746399,4.527424872,6.007222222,2.09,winter
2606,2014,375.0815353,3.286010385,18.90336957,20.98,summer
2606,2015,375.0815353,3.286010385,20.44217391,24.33,summer
2606,2016,375.0815353,3.286010385,21.39597826,23.35,summer
2606,2017,375.0815353,3.286010385,19.59293478,24.45,summer
2606,2018,375.0815353,3.286010385,22.15163043,22.35,summer
2606,2019,375.0815353,3.286010385,20.96771739,21.25,summer
2606,2020,375.0815353,3.286010385,21.53902174,21.8,summer
2606,2021,375.0815353,3.286010385,19.1323913,21.73,summer
2606,2014,375.0815353,3.286010385,7.090333333,4.7,winter
2606,2015,375.0815353,3.286010385,6.937,6.2,winter
2606,2016,375.0815353,3.286010385,7.242637363,,winter
2606,2017,375.0815353,3.286010385,6.573,3.7,winter
2606,2018,375.0815353,3.286010385,6.531777778,5.75,winter
2606,2019,375.0815353,3.286010385,6.854777778,7.52,winter
2606,2020,375.0815353,3.286010385,7.599230769,7.65,winter
2606,2021,375.0815353,3.286010385,7.172555556,11.25,winter
