PHYLUM,CLASS,ORDER,SPECIES
Basidiomycota,Agaricomycetes,Agaricales,Hebeloma theobrominum
Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniastrum epilobii
Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniastrum fuchsiae
Ascomycota,Sordariomycetes,Diaporthales,Cryphonectria spec.
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe rivulosa
Basidiomycota,Agaricomycetes,Agaricales,Arrhenia spathulata
Basidiomycota,Agaricomycetes,Agaricales,Cuphophyllus colemannianus
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe geotropa
Basidiomycota,Agaricomycetes,Agaricales,Camarophyllus fuscescens
Ascomycota,Laboulbeniomycetes,Laboulbeniales,Laboulbenia benjaminii
Basidiomycota,Agaricomycetes,Boletales,Leccinum pseudoscabrum
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius anomalus
Basidiomycota,Agaricomycetes,Agaricales,Lepista gilva
Basidiomycota,Agaricomycetes,Agaricales,Amanita crocea
Ascomycota,Leotiomycetes,Rhytismatales,Ascodichaena rugosa
Basidiomycota,Agaricomycetes,Polyporales,Ceriporiopsis mucida
Basidiomycota,Pucciniomycetes,Platygloeales,Achroomyces effusus
Basidiomycota,Agaricomycetes,Polyporales,Hypochnicium bombycinum
Basidiomycota,Agaricomycetes,Russulales,Scytinostroma hemidichophyticum
Basidiomycota,Agaricomycetes,Polyporales,Irpex lacteus
Ascomycota,Dothideomycetes,Hysteriales,Hysterium angustatum
Oomycota,Peronosporea,Peronosporales,Peronospora bulbocapni
Basidiomycota,Agaricomycetes,Russulales,Lactarius pubescens
Basidiomycota,Agaricomycetes,Agaricales,Hygrocybe miniata
Basidiomycota,Agaricomycetes,Russulales,Lactarius serifluus
Basidiomycota,Agaricomycetes,Agaricales,Laccaria pumila
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius dionysae
Basidiomycota,Agaricomycetes,Agaricales,Inocybe hirtella
Basidiomycota,Agaricomycetes,Agaricales,Hygrocybe punicea
Basidiomycota,Agaricomycetes,Agaricales,Macrolepiota konradii
Basidiomycota,Pucciniomycetes,Pucciniales,Coleosporium tussilaginis
Ascomycota,Leotiomycetes,Helotiales,Tapesia fusca
Basidiomycota,Agaricomycetes,Agaricales,Hebeloma populinum
Basidiomycota,Agaricomycetes,Agaricales,Clitopilus hobsonii
Basidiomycota,Agaricomycetes,Russulales,Russula betularum
Basidiomycota,Agaricomycetes,Agaricales,Pluteus ephebeus
Basidiomycota,Agaricomycetes,Russulales,Lactarius fuliginosus
Basidiomycota,Agaricomycetes,Agaricales,Volvariella gloiocephala
Ascomycota,Leotiomycetes,Helotiales,Pyrenopeziza petiolaris
Basidiomycota,Agaricomycetes,Agaricales,Entoloma clypeatum
Ascomycota,Taphrinomycetes,Taphrinales,Taphrina padi
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius salor
Basidiomycota,Agaricomycetes,Russulales,Russula chloroides
Basidiomycota,Agaricomycetes,Agaricales,Tricholoma atrosquamosum
Basidiomycota,Agaricomycetes,Polyporales,Epithele typhae
Basidiomycota,Agaricomycetes,Agaricales,Hygrocybe coccinea
Basidiomycota,Agaricomycetes,Agaricales,Lepista ovispora
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe phaeophthalma
Basidiomycota,Pucciniomycetes,Pucciniales,Puccinia malvacearum
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius violaceus
Basidiomycota,Agaricomycetes,Russulales,Lentinellus cochleatus
Ascomycota,Leotiomycetes,Erysiphales,Erysiphe flexuosa
Basidiomycota,Pucciniomycetes,Pucciniales,Coleosporium cacaliae
Basidiomycota,Agaricomycetes,Polyporales,Polyporus badius
Ascomycota,Leotiomycetes,Rhytismatales,Spathularia neesii
Basidiomycota,Agaricomycetes,Agaricales,Hebeloma alpinum
Ascomycota,Pezizomycetes,Pezizales,Pithya cupressina
Basidiomycota,Pucciniomycetes,Pucciniales,Puccinia violae
Ascomycota,Pezizomycetes,Pezizales,Sowerbyella imperialis
Ascomycota,Pezizomycetes,Pezizales,Iodophanus carneus
Mucoromycota,Mucoromycetes,Mucorales,Pilobolus kleinii
Basidiomycota,Agaricomycetes,Russulales,Lactarius glyciosmus
Basidiomycota,Agaricomycetes,Agaricales,Rugosomyces chrysenteron
Basidiomycota,Agaricomycetes,Agaricales,Amanita vaginata
Basidiomycota,Agaricomycetes,Agaricales,Lepiota oreadiformis
Ascomycota,Pezizomycetes,Pezizales,Helvella lacunosa
Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangium separabile
Basidiomycota,Agaricomycetes,Agaricales,Melanoleuca robertiana
Ascomycota,Pezizomycetes,Pezizales,Morchella conica
Basidiomycota,Agaricomycetes,Agaricales,Marasmius wettsteinii
Basidiomycota,Agaricomycetes,Hymenochaetales,Inonotus dryadeus
Ascomycota,Pezizomycetes,Pezizales,Peziza badia
Ascomycota,Pezizomycetes,Pezizales,Peziza vesiculosa
Basidiomycota,Agaricomycetes,Agaricales,Phaeolepiota aurea
Basidiomycota,Agaricomycetes,Hymenochaetales,Phellinus punctatus
Basidiomycota,Agaricomycetes,Agaricales,Gymnopilus penetrans
Basidiomycota,Agaricomycetes,Gloeophyllales,Veluticeps abietina
Basidiomycota,Agaricomycetes,Agaricales,Cuphophyllus lacmus
Basidiomycota,Agaricomycetes,Gomphales,Clavariadelphus ligula
Ascomycota,Leotiomycetes,Erysiphales,Erysiphe azaleae
Basidiomycota,Agaricomycetes,Agaricales,Psathyrella conopilus
Basidiomycota,Agaricomycetes,Boletales,Chroogomphus rutilus
Basidiomycota,Agaricomycetes,Agaricales,Gymnopilus picreus
Basidiomycota,Agaricomycetes,Cantharellales,Cantharellus amethysteus
Basidiomycota,Agaricomycetes,Agaricales,Tricholoma pardinum
Basidiomycota,Agaricomycetes,Agaricales,Tricholoma inamoenum
Basidiomycota,Pucciniomycetes,Pucciniales,Tranzschelia anemones
Basidiomycota,Agaricomycetes,Hymenochaetales,Inonotus obliquus
Ascomycota,Sordariomycetes,Xylariales,Peroneutypa scoparia
Basidiomycota,Agaricomycetes,Agaricales,Tulostoma brumale
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius pholideus
Basidiomycota,Agaricomycetes,Polyporales,Steccherinum fimbriatum
Ascomycota,Sordariomycetes,Xylariales,Daldinia concentrica
Basidiomycota,Agaricomycetes,Agaricales,Inocybe phaeodisca
Basidiomycota,Agaricomycetes,Agaricales,Inocybe sindonia
Basidiomycota,Agaricomycetes,Agaricales,Inocybe corydalina
Basidiomycota,Agaricomycetes,Agaricales,Stropharia coronilla
Basidiomycota,Agaricomycetes,Russulales,Russula adusta
Ascomycota,Leotiomycetes,Helotiales,Sclerotinia trifoliorum
Basidiomycota,Agaricomycetes,Polyporales,Ganoderma lucidum
Basidiomycota,Agaricomycetes,Agaricales,Hydropus marginellus
Basidiomycota,Agaricomycetes,Agaricales,Pluteus cervinus
Basidiomycota,Agaricomycetes,Agaricales,Marasmiellus tricolor
Basidiomycota,Agaricomycetes,Agaricales,Agrocybe pediades
Basidiomycota,Agaricomycetes,Agaricales,Panaeolus foenisecii
Basidiomycota,Agaricomycetes,Agaricales,Psathyrella stellata
Basidiomycota,Agaricomycetes,Gomphales,Ramaria subbotrytis
Basidiomycota,Agaricomycetes,Russulales,Laxitextum bicolor
Basidiomycota,Agaricomycetes,Agaricales,Inocybe pseudoasterospora
Basidiomycota,Agaricomycetes,Gomphales,Ramaria flava
Ascomycota,Leotiomycetes,Erysiphales,Erysiphe rayssiae
Basidiomycota,Agaricomycetes,Agaricales,Leucoagaricus leucothites
Basidiomycota,Agaricomycetes,Boletales,Boletus queletii
Ascomycota,Leotiomycetes,Erysiphales,Erysiphe galeopsidis
Basidiomycota,Agaricomycetes,Russulales,Russula albonigra
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius tortuosus
Basidiomycota,Agaricomycetes,Agaricales,Mycena inclinata
Basidiomycota,Agaricomycetes,Boletales,Leucogyrophana mollusca
Ascomycota,Pezizomycetes,Pezizales,Helvella silvicola
Basidiomycota,Agaricomycetes,Polyporales,Trametes ochracea
Ascomycota,Sordariomycetes,Hypocreales,Hypomyces lateritius
Basidiomycota,Agaricomycetes,Agaricales,Crepidotus cesatii
Basidiomycota,Agaricomycetes,Polyporales,Climacocystis borealis
Basidiomycota,Agaricomycetes,Agaricales,Agaricus bitorquis
Basidiomycota,Pucciniomycetes,Pucciniales,Milesia polypodii
Basidiomycota,Agaricomycetes,Polyporales,Terana coerulea
Ascomycota,Leotiomycetes,Lichinodiales,Mniaecia jungermanniae
Basidiomycota,Agaricomycetes,Agaricales,Hohenbuehelia albonigra
Basidiomycota,Agaricomycetes,Russulales,Lentinellus castoreus
Basidiomycota,Agaricomycetes,Russulales,Russula norvegica
Ascomycota,Dothideomycetes,Incertae sedis,Leptospora rubella
Basidiomycota,Agaricomycetes,Agaricales,Lepiota castanea
Ascomycota,Pezizomycetes,Pezizales,Helvella elastica
Ascomycota,Sordariomycetes,Hypocreales,Cordyceps militaris
Basidiomycota,Agaricomycetes,Cantharellales,Hydnum rufescens
Basidiomycota,Agaricomycetes,Polyporales,Spongiporus undosus
Basidiomycota,Agaricomycetes,Russulales,Lactarius fluens
Basidiomycota,Agaricomycetes,Agaricales,Inocybe egenula
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe anisata
Ascomycota,Pezizomycetes,Pezizales,Helvella atra
Ascomycota,Pezizomycetes,Pezizales,Helvella macrosperma
Basidiomycota,Agaricomycetes,Agaricales,Entoloma resutum
Basidiomycota,Agaricomycetes,Polyporales,Ceriporia reticulata
Basidiomycota,Agaricomycetes,Polyporales,Laricifomes officinalis
Basidiomycota,Agaricomycetes,Agaricales,Cantharellula umbonata
Basidiomycota,Agaricomycetes,Agaricales,Gymnopus fuscopurpureus
Basidiomycota,Agaricomycetes,Boletales,Boletus aereus
Basidiomycota,Agaricomycetes,Auriculariales,Exidia plana
Basidiomycota,Agaricomycetes,Agaricales,Gymnopilus stabilis
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius malicorius
Ascomycota,Leotiomycetes,Helotiales,Hymenoscyphus spec.
Basidiomycota,Agaricomycetes,Polyporales,Cinereomyces lindbladii
Basidiomycota,Agaricomycetes,Agaricales,Hypholoma elongatum
Basidiomycota,Agaricomycetes,Agaricales,Galerina pumila
Basidiomycota,Agaricomycetes,Agaricales,Rhodocollybia maculata
Basidiomycota,Agaricomycetes,Agaricales,Lycoperdon molle
Basidiomycota,Agaricomycetes,Geastrales,Geastrum triplex
Basidiomycota,Agaricomycetes,Russulales,Vararia investiens
Basidiomycota,Agaricomycetes,Polyporales,Junghuhnia nitida
Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticium canadense
Ascomycota,Leotiomycetes,Rhytismatales,Calloria neglecta
Ascomycota,Sordariomycetes,Xylariales,Hypoxylon fraxinophilum
Basidiomycota,Agaricomycetes,Agaricales,Inocybe piceae
Basidiomycota,Agaricomycetes,Agaricales,Inocybe glabripes
Basidiomycota,Agaricomycetes,Boletales,Chalciporus piperatus
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius cumatilis
Basidiomycota,Agaricomycetes,Agaricales,Psilocybe semilanceata
Basidiomycota,Agaricomycetes,Agaricales,Lyophyllum fumosum
Basidiomycota,Agaricomycetes,Agaricales,Cystoderma carcharias
Ascomycota,Pezizomycetes,Pezizales,Discina melaleuca
Basidiomycota,Agaricomycetes,Gomphales,Ramaria pallida
Basidiomycota,Agaricomycetes,Polyporales,Daedalea quercina
Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidium medium
Basidiomycota,Agaricomycetes,Russulales,Stereum ochraceoflavum
Basidiomycota,Agaricomycetes,Agaricales,Psathyrella cotonea
Basidiomycota,Agaricomycetes,Agaricales,Hygrophorus olivaceoalbus
Ascomycota,Leotiomycetes,Rhytismatales,Lophodermella conjuncta
Basidiomycota,Agaricomycetes,Boletales,Leccinum cyaneobasileucum
Basidiomycota,Agaricomycetes,Agaricales,Pholiota cerifera
Basidiomycota,Agaricomycetes,Agaricales,Mycena adonis
Basidiomycota,Agaricomycetes,Polyporales,Fomitopsis rosea
Ascomycota,Sordariomycetes,Diaporthales,Wuestneia xanthostroma
Basidiomycota,Agaricomycetes,Agaricales,Tricholoma portentosum
Ascomycota,Leotiomycetes,Chaetomellales,Propolis quercina
Ascomycota,Leotiomycetes,Helotiales,Ascocoryne cylichnium
Basidiomycota,Agaricomycetes,Agaricales,Mycena aurantiomarginata
Ascomycota,Pezizomycetes,Pezizales,Scutellinia setosa
Ascomycota,Pezizomycetes,Pezizales,Aleurina tenuiverrucosa
Basidiomycota,Agaricomycetes,Polyporales,Abortiporus spec.
Mucoromycota,Mucoromycetes,Mucorales,Gilbertella persicaria
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe catinus
Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum trichellum
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius meinhardii
Basidiomycota,Agaricomycetes,Agaricales,Panellus serotinus
Ascomycota,Pezizomycetes,Pezizales,Humaria hemisphaerica
Basidiomycota,Agaricomycetes,Agaricales,Hygrophorus lindtneri
Basidiomycota,Agaricomycetes,Boletales,Boletus satanas
Basidiomycota,Agaricomycetes,Agaricales,Inocybe haemacta
Basidiomycota,Agaricomycetes,Agaricales,Amanita solitaria
Basidiomycota,Agaricomycetes,Polyporales,Antrodiella citrinella
Basidiomycota,Agaricomycetes,Agaricales,Leucopaxillus compactus
Basidiomycota,Agaricomycetes,Agaricales,Hygrophorus discoideus
Basidiomycota,Agaricomycetes,Thelephorales,Thelephora terrestris
Basidiomycota,Agaricomycetes,Agaricales,Hygrophorus persoonii
Basidiomycota,Agaricomycetes,Polyporales,Coriolopsis gallica
Ascomycota,Pezizomycetes,Pezizales,Trichophaea hybrida
Basidiomycota,Agaricomycetes,Agaricales,Ramariopsis pulchella
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius largus
Basidiomycota,Agaricomycetes,Polyporales,Laetiporus montanus
Basidiomycota,Agaricomycetes,Boletales,Gyroporus castaneus
Ascomycota,Pezizomycetes,Pezizales,Scutellinia kerguelensis
Basidiomycota,Agaricomycetes,Agaricales,Porpoloma pes-caprae
Ascomycota,Pezizomycetes,Pezizales,Scutellinia trechispora
Basidiomycota,Agaricomycetes,Hymenochaetales,Cantharellopsis prescotii
Basidiomycota,Agaricomycetes,Auriculariales,Exidiopsis grisea
Ascomycota,Sordariomycetes,Diaporthales,Sillia ferruginea
Basidiomycota,Agaricomycetes,Polyporales,Mycoacia uda
Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenella setipes
Basidiomycota,Agaricomycetes,Russulales,Lactarius spec.
Basidiomycota,Agaricomycetes,Russulales,Lactarius vietus
Basidiomycota,Agaricomycetes,Russulales,Gloeocystidiellum porosum
Basidiomycota,Agaricomycetes,Agaricales,Tricholoma cingulatum
Ascomycota,Dothideomycetes,Incertae sedis,Hysterographium fraxini
Ascomycota,Sordariomycetes,Savoryellales,Neoascotaiwania limnetica
Ascomycota,Sordariomycetes,Xylariales,Eutypa spinosa
Basidiomycota,Agaricomycetes,Auriculariales,Exidia pithya
Basidiomycota,Agaricomycetes,Agaricales,Galerina discreta
Ascomycota,Pezizomycetes,Pezizales,Peziza varia
Basidiomycota,Agaricomycetes,Agaricales,Agaricus moellerianus
Basidiomycota,Agaricomycetes,Russulales,Lactarius chrysorrheus
Basidiomycota,Agaricomycetes,Polyporales,Spongiporus caesius
Basidiomycota,Agaricomycetes,Agaricales,Rugosomyces carneus
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius spilomeus
Basidiomycota,Agaricomycetes,Russulales,Russula carpini
Basidiomycota,Agaricomycetes,Polyporales,Hyphoderma capitatum
Ascomycota,Leotiomycetes,Helotiales,Mitrula paludosa
Basidiomycota,Pucciniomycetes,Helicobasidiales,Tuberculina sbrozzii
Basidiomycota,Agaricomycetes,Agaricales,Hygrocybe obrussea
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe subspadicea
Basidiomycota,Agaricomycetes,Agaricales,Inocybe terrigena
Ascomycota,Sordariomycetes,Hypocreales,Mycogone cervina
Basidiomycota,Microbotryomycetes,Microbotryales,Microbotryum saponariae
Basidiomycota,Agaricomycetes,Agaricales,Catathelasma imperiale
Basidiomycota,Agaricomycetes,Boletales,Gyrodon lividus
Basidiomycota,Agaricomycetes,Russulales,Lactarius lilacinus
Basidiomycota,Agaricomycetes,Agaricales,Bovista plumbea
Basidiomycota,Agaricomycetes,Agaricales,Tricholoma frondosae
Basidiomycota,Agaricomycetes,Agaricales,Arrhenia rickenii
Basidiomycota,Pucciniomycetes,Pucciniales,Chrysomyxa rhododendri
Basidiomycota,Pucciniomycetes,Pucciniales,Coleosporium asterum
Basidiomycota,Pucciniomycetes,Pucciniales,Puccinia pulverulenta
Basidiomycota,Agaricomycetes,Agaricales,Hygrocybe citrinovirens
Basidiomycota,Agaricomycetes,Polyporales,Ischnoderma trogii
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius vitellinus
Basidiomycota,Agaricomycetes,Polyporales,Crustoderma dryinum
Basidiomycota,Agaricomycetes,Agaricales,Psathyrella cernua
Basidiomycota,Agaricomycetes,Agaricales,Mycena crocata
Basidiomycota,Agaricomycetes,Agaricales,Agrocybe vervacti
Basidiomycota,Agaricomycetes,Agaricales,Inocybe queletii
Basidiomycota,Agaricomycetes,Agaricales,Cuphophyllus russocoriaceus
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius camphoratus
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius riederi
Basidiomycota,Agaricomycetes,Agaricales,Tricholoma stiparophyllum
Basidiomycota,Agaricomycetes,Agaricales,Marasmius wynneae
Basidiomycota,Agaricomycetes,Agaricales,Typhula athyrii
Ascomycota,Pezizomycetes,Pezizales,Peziza nivalis
Ascomycota,Leotiomycetes,Helotiales,Myriosclerotinia dennisii
Basidiomycota,Agaricomycetes,Polyporales,Lentinus cyathiformis
Basidiomycota,Agaricomycetes,Agaricales,Psathyrella hirta
Basidiomycota,Agaricomycetes,Agaricales,Bovista aestivalis
Basidiomycota,Agaricomycetes,Cantharellales,Sistotrema brinkmannii
Basidiomycota,Agaricomycetes,Russulales,Scutiger confluens
Basidiomycota,Agaricomycetes,Agaricales,Calvatia excipuliformis
Basidiomycota,Agaricomycetes,Agaricales,Bovista nigrescens
Basidiomycota,Agaricomycetes,Boletales,Scleroderma bovista
Ascomycota,Leotiomycetes,Rhytismatales,Cudonia confusa
Basidiomycota,Agaricomycetes,Agaricales,Cystoderma ambrosii
Basidiomycota,Agaricomycetes,Agaricales,Inocybe pusio
Basidiomycota,Agaricomycetes,Agaricales,Galerina stylifera
Basidiomycota,Agaricomycetes,Russulales,Lactarius dryadophilus
Ascomycota,Sordariomycetes,Xylariales,Biscogniauxia nummularia
Basidiomycota,Agaricomycetes,Agaricales,Lycoperdon umbrinum
Basidiomycota,Tremellomycetes,Tremellales,Tremella foliacea
Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeria spermoides
Ascomycota,Sordariomycetes,Diaporthales,Melanamphora spinifera
Ascomycota,Sordariomycetes,Hypocreales,Nectria cinnabarina
Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllum trabeum
Basidiomycota,Agaricomycetes,Agaricales,Tubaria hiemalis
Oomycota,Peronosporea,Peronosporales,Peronospora ficariae
Basidiomycota,Agaricomycetes,Agaricales,Hygrocybe irrigata
Basidiomycota,Agaricomycetes,Russulales,Russula aurea
Ascomycota,Taphrinomycetes,Taphrinales,Protomyces macrosporus
Basidiomycota,Exobasidiomycetes,Microstromatales,Microstroma juglandis
Basidiomycota,Exobasidiomycetes,Entylomatales,Entyloma calendulae
Ascomycota,Taphrinomycetes,Taphrinales,Taphrina populina
Ascomycota,Leotiomycetes,Helotiales,Encoelia furfuracea
Basidiomycota,Agaricomycetes,Boletales,Xerocomus quercinus
Basidiomycota,Agaricomycetes,Agaricales,Entoloma cetratum
Basidiomycota,Pucciniomycetes,Pucciniales,Coleosporium campanulae
Basidiomycota,Pucciniomycetes,Pucciniales,Coleosporium inulae
Basidiomycota,Agaricomycetes,Agaricales,Hygrocybe ceracea
Basidiomycota,Agaricomycetes,Russulales,Dentipellis fragilis
Basidiomycota,Agaricomycetes,Polyporales,Phanerochaete martelliana
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe truncicola
Basidiomycota,Agaricomycetes,Polyporales,Phlebia centrifuga
Basidiomycota,Agaricomycetes,Agaricales,Galerina clavata
Basidiomycota,Agaricomycetes,Agaricales,Hygrophorus piceae
Basidiomycota,Agaricomycetes,Agaricales,Galerina atkinsoniana
Basidiomycota,Agaricomycetes,Russulales,Lactarius rubrocinctus
Ascomycota,Leotiomycetes,Helotiales,Rutstroemia firma
Basidiomycota,Agaricomycetes,Agaricales,Mycena hiemalis
Ascomycota,Pezizomycetes,Pezizales,Cheilymenia granulata
Basidiomycota,Agaricomycetes,Agaricales,Inocybe obscurobadia
Basidiomycota,Agaricomycetes,Agaricales,Amanita submembranacea
Basidiomycota,Agaricomycetes,Boletales,Xerocomus parasiticus
Basidiomycota,Agaricomycetes,Russulales,Russula pascua
Ascomycota,Leotiomycetes,Erysiphales,Golovinomyces asterum
Basidiomycota,Agaricomycetes,Polyporales,Ceriporia purpurea
Basidiomycota,Agaricomycetes,Agaricales,Pluteus salicinus
Basidiomycota,Agaricomycetes,Polyporales,Mycoacia fuscoatra
Basidiomycota,Agaricomycetes,Agaricales,Leucopaxillus rhodoleucus
Basidiomycota,Agaricomycetes,Agaricales,Ampulloclitocybe clavipes
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe squamulosa
Basidiomycota,Agaricomycetes,Agaricales,Psilocybe rhombispora
Basidiomycota,Agaricomycetes,Russulales,Scutiger subrubescens
Basidiomycota,Agaricomycetes,Agaricales,Flagelloscypha minutissima
Basidiomycota,Agaricomycetes,Hymenochaetales,Hyphodontia pallidula
Basidiomycota,Agaricomycetes,Trechisporales,Luellia recondita
Basidiomycota,Agaricomycetes,Polyporales,Hyphoderma setigerum
Basidiomycota,Agaricomycetes,Gomphales,Ramaria eumorpha
Basidiomycota,Agaricomycetes,Russulales,Russula xerampelina
Ascomycota,Pezizomycetes,Pezizales,Pseudoplectania nigrella
Ascomycota,Leotiomycetes,Helotiales,Hymenoscyphus fraxineus
Basidiomycota,Agaricomycetes,Russulales,Peniophora proxima
Basidiomycota,Pucciniomycetes,Platygloeales,Achroomyces disciformis
Basidiomycota,Agaricomycetes,Agaricales,Bonomyces arnoldii
Basidiomycota,Agaricomycetes,Polyporales,Spongipellis spumeus
Ascomycota,Sordariomycetes,Hypocreales,Cordyceps capitata
Basidiomycota,Agaricomycetes,Agaricales,Pholiota lubrica
Basidiomycota,Agaricomycetes,Agaricales,Lyophyllum paelochroum
Basidiomycota,Agaricomycetes,Hymenochaetales,Resinicium bicolor
Ascomycota,Dothideomycetes,Pleosporales,Herpotrichia macrotricha
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius melanotus
Basidiomycota,Agaricomycetes,Agaricales,Inocybe lacera
Basidiomycota,Agaricomycetes,Agaricales,Inocybe maculata
Ascomycota,Leotiomycetes,Helotiales,Lachnellula occidentalis
Ascomycota,Dothideomycetes,Pleosporales,Massarina arundinacea
Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaete carpatica
Ascomycota,Sordariomycetes,Diaporthales,Diaporthe strumella
Oomycota,Peronosporea,Albuginales,Albugo tragopogonis
Ascomycota,Leotiomycetes,Erysiphales,Podosphaera mors-uvae
Basidiomycota,Agaricomycetes,Polyporales,Meruliopsis corium
Basidiomycota,Agaricomycetes,Hymenochaetales,Schizopora paradoxa
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius azureovelatus
Basidiomycota,Agaricomycetes,Agaricales,Chamaemyces fracidus
Ascomycota,Pezizomycetes,Pezizales,Aleuria aurantia
Ascomycota,Pezizomycetes,Pezizales,Anthracobia tristis
Ascomycota,Leotiomycetes,Helotiales,Ombrophila pura
Basidiomycota,Agaricomycetes,Cantharellales,Cantharellus cinereus
Basidiomycota,Agaricomycetes,Agaricales,Entoloma nitens
Basidiomycota,Agaricomycetes,Agaricales,Chlorophyllum rhacodes
Basidiomycota,Agaricomycetes,Agaricales,Mycena epipterygia
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe ditopus
Basidiomycota,Agaricomycetes,Agaricales,Mycena olivaceomarginata
Basidiomycota,Agaricomycetes,Agaricales,Stropharia inuncta
Amoebozoa,Myxogastrea,Liceida,Lycogala flavofuscum
Basidiomycota,Pucciniomycetes,Pucciniales,Phragmidium violaceum
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe vibecina
Basidiomycota,Agaricomycetes,Russulales,Lactarius aurantiacus
Ascomycota,Leotiomycetes,Rhytismatales,Spathularia flavida
Basidiomycota,Agaricomycetes,Agaricales,Galerina laevis
Basidiomycota,Agaricomycetes,Russulales,Lactarius deliciosus
Basidiomycota,Agaricomycetes,Agaricales,Hebeloma senescens
Ascomycota,Pezizomycetes,Pezizales,Scutellinia umbrorum
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe dryadicola
Basidiomycota,Agaricomycetes,Thelephorales,Hydnellum caeruleum
Ascomycota,Leotiomycetes,Helotiales,Rutstroemia bolaris
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe costata
Ascomycota,Pezizomycetes,Pezizales,Peziza petersii
Ascomycota,Pezizomycetes,Pezizales,Geopyxis carbonaria
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius stillatitius
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius traganus
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius collinitus
Basidiomycota,Agaricomycetes,Thelephorales,Tomentella neobourdotii
Basidiomycota,Agaricomycetes,Polyporales,Phlebiella ardosiaca
Basidiomycota,Agaricomycetes,Agaricales,Tubaria dispersa
Ascomycota,Taphrinomycetes,Taphrinales,Taphrina crataegi
Ascomycota,Sordariomycetes,Diaporthales,Calosporella innesii
Basidiomycota,Agaricomycetes,Agaricales,Merismodes anomala
Basidiomycota,Agaricomycetes,Agaricales,Agaricus augustus
Basidiomycota,Agaricomycetes,Hymenochaetales,Coltricia cinnamomea
Basidiomycota,Agaricomycetes,Agaricales,Tricholoma scalpturatum
Basidiomycota,Pucciniomycetes,Pucciniales,Puccinia maculosa
Basidiomycota,Agaricomycetes,Polyporales,Grifola frondosa
Basidiomycota,Agaricomycetes,Russulales,Lactarius uvidus
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius barbaricus
Basidiomycota,Agaricomycetes,Agaricales,Inocybe perlata
Basidiomycota,Agaricomycetes,Atheliales,Athelia neuhoffii
Ascomycota,Dothideomycetes,Pleosporales,Teichospora obducens
Ascomycota,Leotiomycetes,Helotiales,Dasyscyphella nivea
Basidiomycota,Agaricomycetes,Agaricales,Pseudoclitocybe cyathiformis
Ascomycota,Leotiomycetes,Rhytismatales,Lirula nervisequia
Ascomycota,Leotiomycetes,Rhytismatales,Colpoma quercinum
Ascomycota,Leotiomycetes,Helotiales,Trimmatostroma salicis
Ascomycota,Leotiomycetes,Erysiphales,Phyllactinia fraxini
Basidiomycota,Agaricomycetes,Boletales,Leccinum scabrum
Basidiomycota,Agaricomycetes,Agaricales,Pterula multifida
Basidiomycota,Agaricomycetes,Agaricales,Tricholoma fucatum
Basidiomycota,Agaricomycetes,Atheliales,Amphinema byssoides
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius albidus
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius russeus
Basidiomycota,Agaricomycetes,Agaricales,Cystoderma granulosum
