PHYLUM,CLASS,ORDER,SPECIES,CTmax,Lethal Tmax,CTmin,min_metric,REF,Note
Chordata,Actinopterygii,Clupeiformes,Sabanejewia larvata,32.7,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Salmoniformes,Coregonus steinmanni,,,,,,
Chordata,Actinopterygii,Clupeiformes,Cobitis taenia,33.8,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Perciformes,Zingel asper,,,,,,
Chordata,Actinopterygii,Salmoniformes,Salmo marmoratus,30.2,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Clupeiformes,Misgurnus fossilis,34.5,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Clupeiformes,Alosa agone,,,,,,
Chordata,Actinopterygii,Clupeiformes,Chondrostoma soetta,31.9,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Salmoniformes,Coregonus zuerichensis,,,,,,
Chordata,Actinopterygii,Clupeiformes,Parachondrostoma toxostoma,34.2,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Salmoniformes,Coregonus zugensis,,,,,,
Chordata,Actinopterygii,Clupeiformes,Alburnus arborella,35.6,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Salmoniformes,Salmo rhodanensis,,,,,,
Chordata,Actinopterygii,Acipenseriformes,Acipenser naccarii,33.8,,,,Comte and Olden (2017),
Chordata,Actinopterygii,Salmoniformes,Hucho hucho,29.6,,,,Comte and Olden (2017),
