Species,Taxon,Body Mass,LTNZ,UTNZ,TNZ,Latitude,Longitude,Acclimatization*,Reference
,,(g),(°C),(°C),(°C),(°N),(°W),,
Apodemus mystacinus,Muridae,42.3,28,32,4,33,35,W,"Haim et al ., 1993"
Mus macedonicus,Muridae,14.5,28,33,5,32.44,35.03,A,"Haim et al ., 1999"
Baiomys taylori,Muridae,7.3,29,36,7,28.01,-97.313,A,Hudson 1965
Apodemus agrarius,Muridae,24.4,25,27.5,2.5,48.29,124.51,W,"Liu et al ., 2004"
Apodemus speciosus,Muridae,28.5,25,30,5,48.923,124.512,W,"Liu et al ., 2004"
Thallomys paedulcus,Muridae,124.7,27.46,35.89,8.43,-25.1,20.58,W,"Lovegrove et al ., 1991"
Notomys cervinus,Muridae,34.2,33,34,1,-25.34,137.1,W,MacMillen and Lee 1970
Notomys alexis,Muridae,32.3,32,34,2,-23.45,133.531,W,MacMillen and Lee 1970
Pseudomys hermannsburgensis,Muridae,12.2,31,36,5,-23.7,133.88,W,"MacMillen et al ., 1972"
Cannomys badius,Muridae,344,26.74,34.5,7.76,15.52,100.59,W,McNab 1979
Gerbillus pyramidum,Muridae,53,30,31,1,2.02,22.52,W,Robinson 1959
Meriones unguiculatus,Muridae,61,30,40,10,46.51,84.24,W,Robinson 1959
Aepyprymnus rufescens,Muridae,2820,25,33,8,-28.92,152.37,A,"Rübsamen et al ., 1984"
Acomys cahirinus,Muridae,42,27,32.5,5.5,30.03,35.02,A,Shkolnikand Borut 1969
Saccostomus campestris,Nesomyidae,61.3,28,32,4,-25.33,27.39,A,"Haim et al ., 1991"
Steatomys pratensis,Nesomyidae,37.5,28,32,4,-28.55,29.5,W,Perrin and Richardson 2005
Octodon degus,Octodontidae,206,27,35,8,-37.04,-66.16,A,Arends and McNab 2001
Octodontomys gliroides,Octodontidae,152,25,35,10,-42.453,-66.14,A,Arends and McNab 2001
Spalacopus cyanus,Octodontidae,185,26.5,34,7.5,-32.56,-71.31,W,Contreras 1986; McNab 1979
,,,,,,,,,
Pedetes capensis,Pedetidae,2300,23,33,10,-1.174,36.493,W,"Muller et al., 1979"
Spermophilus beecheyi,Sciuridae,599.6,25,30,5,33.412,-117.47,W,Baudinette 1972
Ammospermophilus leucurus,Sciuridae,96,31,34,3,34.36,-117.51,W,Dawson 1955
Tamiasciurus hudsonicus,Sciuridae,231,15,27,12,50.29,-98.31,A,Pauls 1981
Cynomys ludovicianus,Sciuridae,1112.3,30,35,5,47.17,-112.24,W,"Reinking et al ., 1977"
Spermophilus lateralis,Sciuridae,257,23,30,7,40.58,122.391,A,Tattersall and Milsom 2003
Tamias striatus,Sciuridae,92.2,28.5,32,3.5,42.448,-76.496,W,Wang and Hudson 1971
Tamias minimus,Sciuridae,50.6,26,34,8,38.54,-106.92,W,Willems and Armitage 1975
Tamias merriami,Sciuridae,75,29,35,6,35.55,-120.09,W,Wunder 1970
Tachyoryctes splendens,Spalacidae,191,27,35,8,-1.77,36.492,A,McNab 1966
Spalax leucodon,Spalacidae,207.7,25,34,9,41.23,33.46,A,McNab 1966
,Scandentia,,,,,,,,
Tupaia belangeri,Tupaiidae,186,27.5,35,7.5,26.22,102.13,W,"Zhang et al ., 2012"
Tupaia glis,Tupaiidae,123,30,37,7,10.32,101.37,A,Bradley and Hudson 1974
,Soricomorpha,,,,,,,,
Blarina brevicauda,Soricidae,20.5,25,33,8,42.273,-76.32,W,Deavers and Hudson 1981; Neal and Lustik
,,,,,,,,,1973
Neomys anomalus,Soricidae,13.4,25,30,5,52.77,23.84,W,Gebczynska and Gebczynski 1965
Neomys fodiens,Soricidae,14.2,25,30,5,52.9,23.12,W,Gebczynska and Gebczynski 1965
Notiosorex crawfordi,Soricidae,4,32,36,4,32.237,-110.49,W,Lindstedt 1980
Sorex minutus,Soricidae,4.45,24,30,6,53.28,6.15,W,McDevitt and Andrews 1995
Sorex cinereus,Soricidae,3.5,25,30,5,-37.79,122.26,W,"Morrison et al ., 1959"
Neurotrichus gibbsii,Talpidae,11.8,25,32,7,49.3,-123.1,A,Campbell and Hochachka 2000
Condylura cristata,Talpidae,49,24.5,33,8.5,49.06,-95.59,W,"Campbell et al ., 1999"
Scalopus aquaticus,Talpidae,48,26,33,7,29.399,-82.196,W,McNab 1979
