Species,Taxon,Body Mass,LTNZ,UTNZ,TNZ,Latitude,Longitude,Acclimatization*,Reference
,,(g),(°C),(°C),(°C),(°N),(°W),,
Uroderma bilobatum,Phyllostomidae,16.2,30,35,5,-41.017,-62.477,W,McNab 1969
Tonatia bidens,Phyllostomidae,27.4,28,35,7,-41.016,-62.476,W,McNab 1969
Artibeus concolor,Phyllostomidae,19.7,29,38,9,-41.012,-62.471,W,McNab 1969
Rhinophylla pumilio,Phyllostomidae,9.5,30,35,5,-41.015,-62.475,W,McNab 1969
Phyllostomus hastatus,Phyllostomidae,84.2,25,35,10,-41.014,-62.474,W,McNab 1969
Artibeus lituratus,Phyllostomidae,70.1,25,36,11,-23.5,-46.37,W,McNab 1969
Phyllostomus discolor,Phyllostomidae,33.5,25,37,12,-20.491,-49.223,W,McNab 1969
Carollia perspicillata,Phyllostomidae,14.9,29,35,6,-20.056,-56.47,W,McNab 1969
Artibeus jamaicensis,Phyllostomidae,45.2,25,35,10,-20.054,-56.471,W,McNab 1969
Sturnira lilium,Phyllostomidae,21.9,30,35.5,5.5,-20.052,-56.475,W,McNab 1969
Diphylla ecaudata,Phyllostomidae,27.8,26,30,4,-19.372,-43.523,W,McNab 1969
Anoura caudifer,Phyllostomidae,11.5,26,35,9,-19.07,-44.19,W,McNab 1969
Choeroniscus periosus,Phyllostomidae,15,28.2,37.7,9.5,-23.54,-46.63,W,McNab 1969
Monophyllus redmani,Phyllostomidae,8.7,31,35,4,18.391,-67.155,W,Rodriguez-Duran 1995
Erophylla bombifrons,Phyllostomidae,16.1,30,33,3,18.393,-67.151,W,Rodriguez-Duran 1995
Anoura latidens,Phyllostomidae,13.6,34.7,36.2,1.5,-18.293,-64.061,W,"Soriano et al ., 2002"
Sturnira erythromos,Phyllostomidae,15.9,25.5,32.5,7,-18.292,-64.062,W,"Soriano et al ., 2002"
Macroglossus minimus,Pteropodidae,16.3,30.9,33,2.1,-16.55,145.46,W,"Bartels et al ., 1998"
Pteropus scapulatus,Pteropodidae,440,24,35,11,-28.316,153.4,W,"Bartholomew et al ., 1964"
Pteropus poliocephalus,Pteropodidae,825,15,35,20,-27.471,153.023,W,"Bartholomew et al ., 1964"
Dobsonia minor,Pteropodidae,73.7,27.5,35,7.5,-5.28,147.52,W,"Bartholomew et al ., 1970"
Melonycteris melanops,Pteropodidae,53.3,28,33,5,-5.11,145.597,W,Bonaccorso and McNab 1997
Syconycteris australis,Pteropodidae,17.8,29.5,33,3.5,-7.2,146.23,W,"Geiser et al ., 1996"
Eonycteris spelaea,Pteropodidae,51.6,26,32.5,6.5,3.851,114.431,W,McNab 1989
Cynopterus brachyotis,Pteropodidae,37.4,30,37,7,4.53,114.56,W,McNab 1989
Pteropus rodricensis,Pteropodidae,254.5,24,35.5,11.5,-27.145,153.658,W,McNab and Bonaccorso 2001
Dobsonia praedatrix,Pteropodidae,179.5,26,33,7,-5.07,150.031,W,McNab and Bonaccorso 2001
Dobsonia anderseni,Pteropodidae,241.4,28,34,6,57.37,150.032,W,McNab and Bonaccorso 2001
,,,,,,,,,
Nyctimene albiventer,Pteropodidae,30.9,28,34,6,-6.18,147.51,W,McNab and Bonaccorso 2001
