species,tmax (°C),tmin (°C),tmax metric,tmin metric,acclim-ated (Y/N),latitude collected,hemis-phere,altitude >600 m,habitat,phylum,class,order,family,Ref.
Pseudacris regilla,36.6,-1,crit.,leth.,Y,30,N,304.8,terr.,Chordata,Amphibia,Anura,Hylidae,9
Pternohyla fodiens,39.5,6.5,crit.,leth.,Y,30,N,304.8,terr.,Chordata,Amphibia,Anura,Hylidae,9
Rana cascadae,33.6,-1,crit.,leth.,Y,40,N,2133.6,terr.,Chordata,Amphibia,Anura,Ranidae,9
Rana palmipes,36.9,-1,crit.,leth.,Y,10,N,579.12,terr.,Chordata,Amphibia,Anura,Ranidae,9
Rana pipiens,35.2,-1.6,crit.,leth.,Y,17,N,2255.52,terr.,Chordata,Amphibia,Anura,Ranidae,9
Rana pretiosa,34.8,-1,crit.,leth.,Y,52,N,609.6,terr.,Chordata,Amphibia,Anura,Ranidae,9
Rana warszewitschii,32.8,4.8,crit.,leth.,Y,10,N,1554.48,terr.,Chordata,Amphibia,Anura,Ranidae,9
Smilisca baudini,40.4,5,crit.,leth.,Y,30,N,304.8,terr.,Chordata,Amphibia,Anura,Hylidae,9
Spea hammondi,40.3,0,crit.,leth.,Y,30,N,304.8,terr.,Chordata,Amphibia,Anura,Scaphiopodidae,9
Tlalocohyla smithi,42.5,5,crit.,leth.,N,30,N,304.8,terr.,Chordata,Amphibia,Anura,Hylidae,9
Tarentola boettgeri,42.6,9.2,crit.,crit.,N,28,N,0,terr.,Chordata,Reptilia,Squamata,Gekkonidae,10
Eleutherodactylus coqui,37.2,7.5,crit.,crit.,N,18.4,N,15,terr.,Chordata,Amphibia,Anura,Leptodactylidae,11
Gambelia wislizennii,43.6,12.6,crit.,crit.,N,39.4,N,no data,terr.,Chordata,Reptilia,Squamata,Iguania,13
Liolaemus abaucan,47.3,15.41,crit.,crit.,Y,27.2,S,1200,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus albiceps,44.33,7.05,crit.,crit.,Y,24.3,S,3060,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus bibronii,44.53,8.49,crit.,crit.,Y,40.3,S,0,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus boulengeri,43.99,9.4,crit.,crit.,Y,42.4,S,0,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus canqueli,44.6,6.99,crit.,crit.,Y,44,S,900,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus cf._capillitas,43.7,7.47,crit.,crit.,Y,27.4,S,2500,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus cf._elongatus,45.1,7.68,crit.,crit.,Y,41.9,S,700,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus chacoensis,44.1,14.9,crit.,crit.,Y,28.8,S,700,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus cuyanus,45.7,12,crit.,crit.,Y,28.2,S,400,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus darwinii,44.68,10.11,crit.,crit.,Y,29.5,S,800,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus fitzingerii,44.45,8.24,crit.,crit.,Y,43.5,S,0,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus irregularis,44.98,6.96,crit.,crit.,Y,24.3,S,3060,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus kingii,44.5,7.01,crit.,crit.,Y,45.4,S,0,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
